,,Ladder score,Social support,,,,,,,,,,,,,,,,,,,,,,
,,x,y,,,xy,x2,y2,,(x - x?),(y - y? ),(x - x?)(y - y? ),(x - x?)2,(y - y? )2,,,,,,,,,,,
,,7.741,1.572,N =,140,12.169,59.923,2.471,,2.210107143,0.437671429,0.967300751,4.884573583,0.191556279,,,,,,,,,,,
,,7.583,1.52,x? = ,5.530892857,11.526,57.502,2.31,,2.052107143,0.385671429,0.791439093,4.211143726,0.148742451,,,,,,,,,,,
,,7.525,1.617,y? = ,1.134328571,12.168,56.626,2.615,,1.994107143,0.482671429,0.962498543,3.976463297,0.232971708,,,,,,,,,,,
,,7.344,1.501,,,11.023,53.934,2.253,,1.813107143,0.366671429,0.664814586,3.287357511,0.134447937,,,,,,,,,,,
,,7.341,1.513,,,11.107,53.89,2.289,,1.810107143,0.378671429,0.685435858,3.276487869,0.143392051,,,,,,,,,,,
,,7.319,1.462,,,10.7,53.568,2.137,,1.788107143,0.327671429,0.585911622,3.197327154,0.107368565,,,,,,,,,,,
,,7.302,1.517,,,11.077,53.319,2.301,,1.771107143,0.382671429,0.677752101,3.136820511,0.146437422,,,,,,,,,,,
,,7.122,1.355,,,9.65,50.723,1.836,,1.591107143,0.220671429,0.351111886,2.53162194,0.048695879,,,,,,,,,,,
,,7.06,1.425,,,10.061,49.844,2.031,,1.529107143,0.290671429,0.444467758,2.338168654,0.084489879,,,,,,,,,,,
,,7.057,1.461,,,10.31,49.801,2.135,,1.526107143,0.326671429,0.498535601,2.329003011,0.106714222,,,,,,,,,,,
,,7.029,1.527,,,10.733,49.407,2.332,,1.498107143,0.392671429,0.588263872,2.244325011,0.154190851,,,,,,,,,,,
,,6.955,1.373,,,9.549,48.372,1.885,,1.424107143,0.238671429,0.339893686,2.028081154,0.056964051,,,,,,,,,,,
,,6.951,1.364,,,9.481,48.316,1.86,,1.420107143,0.229671429,0.326158036,2.016704297,0.052748965,,,,,,,,,,,
,,6.905,1.336,,,9.225,47.679,1.785,,1.374107143,0.201671429,0.277118151,1.88817044,0.040671365,,,,,,,,,,,
,,6.9,1.459,,,10.067,47.61,2.129,,1.369107143,0.324671429,0.444509972,1.874454369,0.105411537,,,,,,,,,,,
,,6.894,1.44,,,9.927,47.527,2.074,,1.363107143,0.305671429,0.416662908,1.858061083,0.093435022,,,,,,,,,,,
,,6.838,1.39,,,9.505,46.758,1.932,,1.307107143,0.255671429,0.334189951,1.708529083,0.065367879,,,,,,,,,,,
,,6.822,1.511,,,10.308,46.54,2.283,,1.291107143,0.376671429,0.486323172,1.666957654,0.141881365,,,,,,,,,,,
,,6.818,1.454,,,9.913,46.485,2.114,,1.287107143,0.319671429,0.411451379,1.656644797,0.102189822,,,,,,,,,,,
,,6.749,1.326,,,8.949,45.549,1.758,,1.218107143,0.191671429,0.233476336,1.483785011,0.036737937,,,,,,,,,,,
,,6.743,1.502,,,10.128,45.468,2.256,,1.212107143,0.367671429,0.445657165,1.469203726,0.135182279,,,,,,,,,,,
,,6.733,1.164,,,7.837,45.333,1.355,,1.202107143,0.029671429,0.035668236,1.445061583,0.000880394,,,,,,,,,,,
,,6.725,1.392,,,9.361,45.226,1.938,,1.194107143,0.257671429,0.307687293,1.425891869,0.066394565,,,,,,,,,,,
,,6.719,1.39,,,9.339,45.145,1.932,,1.188107143,0.255671429,0.303765051,1.411598583,0.065367879,,,,,,,,,,,
,,6.678,1.241,,,8.287,44.596,1.54,,1.147107143,0.106671429,0.122363558,1.315854797,0.011378794,,,,,,,,,,,
,,6.611,1.431,,,9.46,43.705,2.048,,1.080107143,0.296671429,0.320436929,1.16663144,0.088013937,,,,,,,,,,,
,,6.609,1.348,,,8.909,43.679,1.817,,1.078107143,0.213671429,0.230360693,1.162315011,0.045655479,,,,,,,,,,,
,,6.594,1.361,,,8.974,43.481,1.852,,1.063107143,0.226671429,0.240976015,1.130196797,0.051379937,,,,,,,,,,,
,,6.561,1.277,,,8.378,43.047,1.631,,1.030107143,0.142671429,0.146966858,1.061120726,0.020355137,,,,,,,,,,,
,,6.523,1.361,,,8.878,42.55,1.852,,0.992107143,0.226671429,0.224882343,0.984276583,0.051379937,,,,,,,,,,,
,,6.503,1.346,,,8.753,42.289,1.812,,0.972107143,0.211671429,0.205767308,0.944992297,0.044804794,,,,,,,,,,,
,,6.491,1.236,,,8.023,42.133,1.528,,0.960107143,0.101671429,0.097615465,0.921805726,0.010337079,,,,,,,,,,,
,,6.469,1.08,,,6.987,41.848,1.166,,0.938107143,-0.054328571,-0.050966021,0.880045011,0.002951594,,,,,,,,,,,
,,6.448,1.527,,,9.846,41.577,2.332,,0.917107143,0.392671429,0.360121772,0.841085511,0.154190851,,,,,,,,,,,
,,6.442,1.417,,,9.128,41.499,2.008,,0.911107143,0.282671429,0.257543958,0.830116226,0.079903137,,,,,,,,,,,
,,6.421,1.471,,,9.445,41.229,2.164,,0.890107143,0.336671429,0.299673643,0.792290726,0.113347651,,,,,,,,,,,
,,6.411,1.391,,,8.918,41.101,1.935,,0.880107143,0.256671429,0.225898358,0.774588583,0.065880222,,,,,,,,,,,
,,6.36,1.369,,,8.707,40.45,1.874,,0.829107143,0.234671429,0.194567758,0.687418654,0.055070679,,,,,,,,,,,
,,6.358,1.392,,,8.85,40.424,1.938,,0.827107143,0.257671429,0.213121879,0.684106226,0.066394565,,,,,,,,,,,
,,6.346,1.444,,,9.164,40.272,2.085,,0.815107143,0.309671429,0.252415393,0.664399654,0.095896394,,,,,,,,,,,
,,6.324,1.328,,,8.398,39.993,1.764,,0.793107143,0.193671429,0.153602193,0.62901894,0.037508622,,,,,,,,,,,
,,6.287,1.169,,,7.35,39.526,1.367,,0.756107143,0.034671429,0.026215315,0.571698011,0.001202108,,,,,,,,,,,
,,6.284,1.263,,,7.937,39.489,1.595,,0.753107143,0.128671429,0.096903372,0.567170369,0.016556337,,,,,,,,,,,
,,6.272,1.269,,,7.959,39.338,1.61,,0.741107143,0.134671429,0.099805958,0.549239797,0.018136394,,,,,,,,,,,
,,6.257,1.54,,,9.636,39.15,2.372,,0.726107143,0.405671429,0.294560922,0.527231583,0.164569308,,,,,,,,,,,
